period,vol_dc,mmean_rel_error
30,1,0.9999
30,2,1.0001
30,3,0.9992
30,4,0.9994
30,5,1.0003
30,6,0.9999
30,7,1.0009
30,8,1.0004
30,9,0.9991
30,10,1.0009
60,1,0.9994
60,2,0.9989
60,3,0.998
60,4,1.001
60,5,1.0014
60,6,0.9999
60,7,1.0005
60,8,1.0
60,9,0.997
60,10,0.9945
91,1,0.9995
91,2,0.9991
91,3,0.9996
91,4,1.0028
91,5,1.0021
91,6,1.0016
91,7,1.0012
91,8,0.9998
91,9,0.9963
91,10,0.9818
182,1,0.9975
182,2,0.9956
182,3,0.9955
182,4,1.0008
182,5,0.9998
182,6,1.0066
182,7,1.0048
182,8,1.0017
182,9,0.9953
182,10,0.9552
365,1,1.0017
365,2,0.9886
365,3,0.9885
365,4,0.992
365,5,0.9975
365,6,1.0032
365,7,1.0094
365,8,1.0066
365,9,0.9919
365,10,0.9171
730,1,1.0138
730,2,0.9805
730,3,0.9747
730,4,0.9698
730,5,0.9865
730,6,0.9903
730,7,0.9938
730,8,0.9987
730,9,0.984
730,10,0.89
1095,1,1.0042
1095,2,0.9668
1095,3,0.9466
1095,4,0.944
1095,5,0.9618
1095,6,0.9763
1095,7,0.9736
1095,8,0.9843
1095,9,0.9712
1095,10,0.8626
